,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cabo san lucas,20,MX,1555786888,57,22.89,-109.91,307.04,6.7
1,butaritari,100,KI,1555787564,79,3.07,172.79,301.107,6.57
3,esperance,75,TT,1555786891,62,10.24,-61.45,304.82,7.7
4,saskylakh,83,RU,1555787300,95,71.97,114.09,260.307,1.8
5,khatanga,63,RU,1555787564,92,71.98,102.47,252.507,3.71
6,port elizabeth,1,US,1555787557,43,39.31,-74.98,297.04,5.1
7,iqaluit,20,CA,1555787562,71,63.75,-68.52,259.15,8.7
8,new norfolk,0,AU,1555787536,87,-42.78,147.06,291.48,2.1
9,mar del plata,0,AR,1555787565,30,-46.43,-67.52,292.607,5.91
10,clyde river,75,CA,1555783200,77,70.47,-68.59,255.15,10.3
11,kaitangata,64,NZ,1555787478,83,-46.28,169.85,284.26,1.79
12,sambava,70,MG,1555787565,97,-14.27,50.17,295.707,1.19
13,provideniya,13,RU,1555787565,78,64.42,-173.23,257.507,1.9
14,paita,0,PE,1555783200,290,-5.09,-81.11,290.15,5.7
15,bredasdorp,13,ZA,1555786861,72,-34.53,20.04,290.15,1.5
16,kavieng,80,PG,1555787566,76,-2.57,150.8,301.007,1.29
17,sao filipe,2,CV,1555787293,80,14.9,-24.5,295.207,7.91
18,albany,90,US,1555787462,73,42.65,-73.75,294.15,5.7
19,qaanaaq,57,GL,1555787567,83,77.48,-69.36,250.807,1.65
20,lagoa,0,PT,1555787543,55,37.14,-8.45,292.59,3.1
21,avarua,1,CK,1555785000,64,-21.21,-159.78,296.15,1.5
22,xichang,49,CN,1555787568,76,27.88,102.25,283.207,1.9
23,mahebourg,75,MU,1555787344,83,-20.41,57.7,299.15,5.7
24,ponta do sol,0,BR,1555787568,56,-20.63,-46,298.607,2.71
25,plettenberg bay,4,ZA,1555787568,88,-34.05,23.37,287.307,1.31
26,asheville,90,US,1555787311,87,35.6,-82.55,284.26,4.1
27,grindavik,75,IS,1555785000,87,63.84,-22.43,280.93,11.8
28,pahrump,1,US,1555787134,16,36.21,-115.98,302.04,9.3
29,itai,6,BR,1555787485,56,-23.42,-49.09,301.007,2.25
30,port alfred,1,ZA,1555787535,87,-33.59,26.89,290.37,3.13
31,mayumba,100,GA,1555787569,83,-3.44,10.65,301.207,4.58
32,busselton,14,AU,1555787534,66,-33.64,115.35,278.15,3.29
33,geraldton,75,CA,1555785060,37,49.72,-86.95,284.15,7.2
34,barrow,2,AR,1555787293,49,-38.31,-60.23,291.207,5.11
35,nikolskoye,40,RU,1555787507,65,59.7,30.79,278.15,2
36,ushuaia,90,AR,1555783200,100,-54.81,-68.31,279.15,11.3
37,saint george,40,GR,1555787006,81,39.45,22.34,285.37,4.1
38,hithadhoo,100,MV,1555787571,80,-0.6,73.08,302.507,6.22
39,teguldet,46,RU,1555787571,89,57.31,88.17,269.607,2.21
40,guerrero negro,3,MX,1555787571,91,27.97,-114.04,287.907,6.35
41,sangmelima,97,CM,1555787571,97,2.93,11.98,293.607,0.81
42,boca do acre,91,BR,1555787571,88,-8.76,-67.39,302.007,1.45
43,rikitea,19,PF,1555787571,82,-23.12,-134.97,299.007,7.6
44,vaini,8,IN,1555787572,71,15.34,74.49,298.107,1.09
45,athabasca,17,CA,1555787572,37,54.72,-113.29,281.907,5.87
46,rocha,5,UY,1555787572,49,-34.48,-54.34,293.507,4.46
47,hasaki,75,JP,1555787483,87,35.73,140.83,286.15,3.1
48,cape town,20,ZA,1555787164,77,-33.93,18.42,289.82,5.1
